time	V(out)
Step Information: C6_value=100f  (Step: 1/10)
0.000000000000000e+00	-1.038822e+00
9.999999824516700e-15	-1.038823e+00
1.999999964903340e-14	-1.038823e+00
3.999999929806680e-14	-1.038823e+00
7.999999859613360e-14	-1.038822e+00
1.599999971922672e-13	-1.038822e+00
3.199999943845344e-13	-1.038822e+00
6.399999887690688e-13	-1.038822e+00
1.279999977538138e-12	-1.038822e+00
2.559999955076275e-12	-1.038822e+00
5.119999910152551e-12	-1.038822e+00
1.023999982030510e-11	-1.038822e+00
1.952521907161412e-11	-1.038822e+00
3.016908770777296e-11	-1.038822e+00
4.821753173241325e-11	-1.038822e+00
8.137389119081765e-11	-1.038822e+00
1.476866101076264e-10	-1.038822e+00
2.643094662045795e-10	-1.038822e+00
4.274206513553276e-10	-1.038822e+00
6.944785541512410e-10	-1.038822e+00
1.000000000000000e-09	-1.038822e+00
1.025411146735903e-09	-1.038822e+00
1.076233440207710e-09	-1.038822e+00
1.177878027151323e-09	-1.038822e+00
1.296642236667558e-09	-1.038822e+00
1.525146320307057e-09	-1.038822e+00
1.982154487586056e-09	-1.038822e+00
2.634535879992871e-09	-1.038822e+00
3.634535879992872e-09	-1.038822e+00
4.634535879992872e-09	-1.038822e+00
5.634535879992871e-09	-1.038822e+00
6.634535879992871e-09	-1.038822e+00
7.634535879992871e-09	-1.038822e+00
8.634535879992872e-09	-1.038822e+00
9.634535879992873e-09	-1.038822e+00
1.063453587999287e-08	-1.038822e+00
1.163453587999287e-08	-1.038822e+00
1.263453587999287e-08	-1.038822e+00
1.363453587999288e-08	-1.038822e+00
1.463453587999288e-08	-1.038822e+00
1.563453587999288e-08	-1.038823e+00
1.663453587999288e-08	-1.038823e+00
1.763453587999287e-08	-1.038823e+00
1.863453587999287e-08	-1.038823e+00
1.963453587999287e-08	-1.038823e+00
2.063453587999287e-08	-1.038823e+00
2.163453587999287e-08	-1.038823e+00
2.263453587999287e-08	-1.038823e+00
2.363453587999287e-08	-1.038823e+00
2.463453587999287e-08	-1.038823e+00
2.563453587999287e-08	-1.038823e+00
2.663453587999287e-08	-1.038823e+00
2.763453587999286e-08	-1.038823e+00
2.863453587999286e-08	-1.038823e+00
2.963453587999286e-08	-1.038822e+00
3.063453587999286e-08	-1.038822e+00
3.163453587999286e-08	-1.038822e+00
3.263453587999287e-08	-1.038822e+00
3.363453587999287e-08	-1.038822e+00
3.463453587999287e-08	-1.038822e+00
3.563453587999287e-08	-1.038821e+00
3.663453587999288e-08	-1.038821e+00
3.763453587999288e-08	-1.038820e+00
3.863453587999288e-08	-1.038819e+00
